"business_date","hour_of_day","dining_unit_id","actual_demand","actual_staff_count","baseline_demand_forecast","event_adjusted_forecast","recommended_staff_count"
2024-08-21,6,3,106,5,81.3333333333333333,81.33,5
2024-08-21,6,4,118,5,108.0000000000000000,108.00,6
2024-08-21,7,1,60,3,69.0000000000000000,69.00,4
2024-08-21,7,2,99,4,72.6666666666666667,72.67,4
2024-08-21,7,3,20,3,33.6666666666666667,33.67,2
2024-08-21,7,4,113,5,94.0000000000000000,94.00,5
2024-08-21,8,1,38,3,69.0000000000000000,69.00,4
2024-08-21,8,2,75,3,72.0000000000000000,72.00,4
2024-08-21,8,3,69,3,64.3333333333333333,64.33,4
2024-08-21,8,4,78,3,81.3333333333333333,81.33,5
2024-08-21,9,1,74,3,71.0000000000000000,71.00,4
2024-08-21,9,2,60,3,72.3333333333333333,72.33,4
2024-08-21,9,3,68,3,77.6666666666666667,77.67,4
2024-08-21,9,4,110,5,70.6666666666666667,70.67,4
2024-08-21,10,1,93,4,76.6666666666666667,76.67,4
2024-08-21,10,2,76,3,50.0000000000000000,50.00,3
2024-08-21,10,3,69,3,72.6666666666666667,72.67,4
2024-08-21,10,4,118,5,103.3333333333333333,103.33,6
2024-08-21,11,1,32,3,71.6666666666666667,71.67,4
2024-08-21,11,2,38,3,58.0000000000000000,58.00,3
2024-08-21,11,3,64,3,65.0000000000000000,65.00,4
2024-08-21,11,4,73,3,56.0000000000000000,56.00,3
2024-08-21,12,1,56,3,62.3333333333333333,62.33,4
2024-08-21,12,2,63,3,70.3333333333333333,70.33,4
2024-08-21,12,3,61,3,64.0000000000000000,64.00,4
2024-08-21,12,4,83,4,63.6666666666666667,63.67,4
2024-08-21,13,1,60,3,54.3333333333333333,54.33,3
2024-08-21,13,2,66,3,53.6666666666666667,53.67,3
2024-08-21,13,3,108,5,83.0000000000000000,83.00,5
2024-08-21,13,4,102,5,53.3333333333333333,53.33,3
2024-08-21,14,1,118,5,65.6666666666666667,65.67,4
2024-08-21,14,2,84,4,76.3333333333333333,76.33,4
2024-08-21,14,3,62,3,70.3333333333333333,70.33,4
2024-08-21,14,4,24,3,48.6666666666666667,48.67,3
2024-08-21,15,1,113,5,98.6666666666666667,98.67,5
2024-08-21,15,2,22,3,75.0000000000000000,75.00,4
2024-08-21,15,3,37,3,59.0000000000000000,59.00,3
2024-08-21,15,4,103,5,90.6666666666666667,90.67,5
2024-08-21,16,1,100,5,73.6666666666666667,73.67,4
2024-08-21,16,2,78,3,68.3333333333333333,68.33,4
2024-08-21,16,3,28,3,51.3333333333333333,51.33,3
2024-08-21,16,4,28,3,54.6666666666666667,54.67,3
2024-08-21,17,1,58,3,79.6666666666666667,79.67,4
2024-08-21,17,2,44,3,71.6666666666666667,71.67,4
2024-08-21,17,3,29,3,67.6666666666666667,67.67,4
2024-08-21,17,4,78,3,75.3333333333333333,75.33,4
2024-08-21,18,1,89,4,96.3333333333333333,96.33,5
2024-08-21,18,2,75,3,89.0000000000000000,89.00,5
2024-08-21,18,3,54,3,63.6666666666666667,63.67,4
2024-08-21,18,4,100,5,87.6666666666666667,87.67,5
2024-08-21,19,1,95,4,87.6666666666666667,87.67,5
2024-08-21,19,2,30,3,40.6666666666666667,40.67,3
2024-08-21,19,3,37,3,67.0000000000000000,67.00,4
2024-08-21,19,4,78,3,75.6666666666666667,75.67,4
2024-08-21,20,1,116,5,77.6666666666666667,77.67,4
2024-08-21,20,2,37,3,56.0000000000000000,56.00,3
2024-08-21,20,3,20,3,61.0000000000000000,61.00,4
2024-08-21,20,4,105,5,75.6666666666666667,75.67,4
2024-08-21,21,1,88,4,61.0000000000000000,61.00,4
2024-08-21,21,2,66,3,65.6666666666666667,65.67,4
2024-08-21,21,3,107,5,99.0000000000000000,99.00,5
2024-08-21,21,4,80,4,80.6666666666666667,80.67,5
2024-08-21,22,1,39,3,83.3333333333333333,83.33,5
2024-08-21,22,2,53,3,60.3333333333333333,60.33,4
2024-08-21,22,3,113,5,57.6666666666666667,57.67,3
2024-08-21,22,4,76,3,68.3333333333333333,68.33,4
2024-08-21,23,1,90,4,88.0000000000000000,88.00,5
2024-08-21,23,2,100,5,83.3333333333333333,83.33,5
2024-08-21,23,3,55,3,84.6666666666666667,84.67,5
2024-08-21,23,4,97,4,84.6666666666666667,84.67,5
2024-08-22,0,1,110,5,90.3333333333333333,90.33,5
2024-08-22,0,2,98,4,105.6666666666666667,105.67,6
2024-08-22,0,3,64,3,79.0000000000000000,79.00,4
2024-08-22,0,4,64,3,62.6666666666666667,62.67,4
2024-08-22,1,1,113,5,103.6666666666666667,103.67,6
2024-08-22,1,2,34,3,59.0000000000000000,59.00,3
2024-08-22,1,3,28,3,62.6666666666666667,62.67,4
2024-08-22,1,4,77,3,72.3333333333333333,72.33,4
2024-08-22,2,1,68,3,55.6666666666666667,55.67,3
2024-08-22,2,2,94,4,65.0000000000000000,65.00,4
2024-08-22,2,3,38,3,55.0000000000000000,55.00,3
2024-08-22,2,4,86,4,62.6666666666666667,62.67,4
2024-08-22,3,1,79,3,83.0000000000000000,83.00,5
2024-08-22,3,2,99,4,66.6666666666666667,66.67,4
2024-08-22,3,3,43,3,48.6666666666666667,48.67,3
2024-08-22,3,4,105,5,93.6666666666666667,93.67,5
2024-08-22,4,1,33,3,48.6666666666666667,48.67,3
2024-08-22,4,2,24,3,43.0000000000000000,43.00,3
2024-08-22,4,3,74,3,59.0000000000000000,59.00,3
2024-08-22,4,4,116,5,75.0000000000000000,75.00,4
2024-08-22,5,1,119,5,82.6666666666666667,82.67,5
2024-08-22,5,2,41,3,54.6666666666666667,54.67,3
2024-08-22,5,3,99,4,86.0000000000000000,86.00,5
2024-08-22,5,4,29,3,65.0000000000000000,65.00,4
2024-08-22,6,1,46,3,50.3333333333333333,50.33,3
2024-08-22,6,2,90,4,79.0000000000000000,79.00,4
2024-08-22,6,3,118,5,69.6666666666666667,69.67,4
2024-08-22,6,4,27,3,35.0000000000000000,35.00,2
2024-08-22,7,1,71,3,94.0000000000000000,94.00,5
2024-08-22,7,2,78,3,58.0000000000000000,58.00,3
2024-08-22,7,3,68,3,73.0000000000000000,73.00,4
2024-08-22,7,4,48,3,62.0000000000000000,62.00,4
2024-08-22,8,1,41,3,45.0000000000000000,45.00,3
2024-08-22,8,2,50,3,72.6666666666666667,72.67,4
2024-08-22,8,3,41,3,61.6666666666666667,61.67,4
2024-08-22,8,4,37,3,71.6666666666666667,71.67,4
2024-08-22,9,1,31,3,29.0000000000000000,29.00,2
2024-08-22,9,2,105,5,104.0000000000000000,104.00,6
2024-08-22,9,3,116,5,103.3333333333333333,103.33,6
2024-08-22,9,4,97,4,83.6666666666666667,83.67,5
2024-08-22,10,1,79,3,68.6666666666666667,68.67,4
2024-08-22,10,2,73,3,52.6666666666666667,52.67,3
2024-08-22,10,3,58,3,69.0000000000000000,69.00,4
2024-08-22,10,4,23,3,66.6666666666666667,66.67,4
2024-08-22,11,1,84,4,64.0000000000000000,64.00,4
2024-08-22,11,2,56,3,38.6666666666666667,38.67,2
2024-08-22,11,3,106,5,66.3333333333333333,66.33,4
2024-08-22,11,4,39,3,63.0000000000000000,63.00,4
2024-08-22,12,1,32,3,43.3333333333333333,43.33,3
2024-08-22,12,2,22,3,81.3333333333333333,81.33,5
2024-08-22,12,3,84,4,81.6666666666666667,81.67,5
2024-08-22,12,4,96,4,75.0000000000000000,75.00,4
2024-08-22,13,1,21,3,43.0000000000000000,43.00,3
2024-08-22,13,2,50,3,68.0000000000000000,68.00,4
2024-08-22,13,3,102,5,67.0000000000000000,67.00,4
2024-08-22,13,4,43,3,75.6666666666666667,75.67,4
2024-08-22,14,1,60,3,72.6666666666666667,72.67,4
2024-08-22,14,2,61,3,62.6666666666666667,62.67,4
2024-08-22,14,3,67,3,65.6666666666666667,65.67,4
2024-08-22,14,4,23,3,59.3333333333333333,59.33,3
2024-08-22,15,1,58,3,57.6666666666666667,57.67,3
2024-08-22,15,2,115,5,91.0000000000000000,91.00,5
2024-08-22,15,3,97,4,99.3333333333333333,99.33,5
2024-08-22,15,4,109,5,74.6666666666666667,74.67,4
2024-08-22,16,1,93,4,76.6666666666666667,76.67,4
2024-08-22,16,2,45,3,42.6666666666666667,42.67,3
2024-08-22,16,3,64,3,90.6666666666666667,90.67,5
2024-08-22,16,4,38,3,58.0000000000000000,58.00,3
2024-08-22,17,1,84,4,98.3333333333333333,98.33,5
2024-08-22,17,2,32,3,53.3333333333333333,53.33,3
2024-08-22,17,3,48,3,73.6666666666666667,73.67,4
2024-08-22,17,4,102,5,100.6666666666666667,100.67,6
2024-08-22,18,1,33,3,46.6666666666666667,46.67,3
2024-08-22,18,2,24,3,81.3333333333333333,81.33,5
2024-08-22,18,3,114,5,81.3333333333333333,81.33,5
2024-08-22,18,4,45,3,57.0000000000000000,57.00,3
2024-08-22,19,1,27,3,79.6666666666666667,79.67,4
2024-08-22,19,2,77,3,84.0000000000000000,84.00,5
2024-08-22,19,3,90,4,70.6666666666666667,70.67,4
2024-08-22,19,4,69,3,83.6666666666666667,83.67,5
2024-08-22,20,1,103,5,75.0000000000000000,75.00,4
2024-08-22,20,2,114,5,81.3333333333333333,81.33,5
2024-08-22,20,3,25,3,44.0000000000000000,44.00,3
2024-08-22,20,4,26,3,28.0000000000000000,28.00,2
2024-08-22,21,1,25,3,61.0000000000000000,61.00,4
2024-08-22,21,2,119,5,95.3333333333333333,95.33,5
2024-08-22,21,3,115,5,58.3333333333333333,58.33,3
2024-08-22,21,4,74,3,102.3333333333333333,102.33,6
2024-08-22,22,1,109,5,84.3333333333333333,84.33,5
2024-08-22,22,2,92,4,83.0000000000000000,83.00,5
2024-08-22,22,3,72,3,83.6666666666666667,83.67,5
2024-08-22,22,4,117,5,64.3333333333333333,64.33,4
2024-08-22,23,1,35,3,49.3333333333333333,49.33,3
2024-08-22,23,2,61,3,68.6666666666666667,68.67,4
2024-08-22,23,3,89,4,87.6666666666666667,87.67,5
2024-08-22,23,4,57,3,66.6666666666666667,66.67,4
2024-08-23,0,1,96,4,64.3333333333333333,64.33,4
2024-08-23,0,2,52,3,67.0000000000000000,67.00,4
2024-08-23,0,3,45,3,82.6666666666666667,82.67,5
2024-08-23,0,4,87,4,98.3333333333333333,98.33,5
2024-08-23,1,1,109,5,82.3333333333333333,82.33,5
2024-08-23,1,2,61,3,83.0000000000000000,83.00,5
2024-08-23,1,3,63,3,84.3333333333333333,84.33,5
2024-08-23,1,4,110,5,87.6666666666666667,87.67,5
2024-08-23,2,1,117,5,84.3333333333333333,84.33,5
2024-08-23,2,2,45,3,63.0000000000000000,63.00,4
2024-08-23,2,3,42,3,66.6666666666666667,66.67,4
2024-08-23,2,4,91,4,76.0000000000000000,76.00,4
2024-08-23,3,1,41,3,86.3333333333333333,86.33,5
2024-08-23,3,2,51,3,81.6666666666666667,81.67,5
2024-08-23,3,3,36,3,85.3333333333333333,85.33,5
2024-08-23,3,4,68,3,67.0000000000000000,67.00,4
2024-08-23,4,1,82,4,71.3333333333333333,71.33,4
2024-08-23,4,2,104,5,59.0000000000000000,59.00,3
2024-08-23,4,3,28,3,49.0000000000000000,49.00,3
2024-08-23,4,4,113,5,106.6666666666666667,106.67,6
2024-08-23,5,1,115,5,90.6666666666666667,90.67,5
2024-08-23,5,2,86,4,62.0000000000000000,62.00,4
2024-08-23,5,3,22,3,63.3333333333333333,63.33,4
2024-08-23,5,4,86,4,64.0000000000000000,64.00,4
2024-08-23,6,1,97,4,81.6666666666666667,81.67,5
2024-08-23,6,2,82,4,43.0000000000000000,43.00,3
2024-08-23,6,3,93,4,74.0000000000000000,74.00,4
2024-08-23,6,4,102,5,84.0000000000000000,84.00,5
2024-08-23,7,1,77,3,66.6666666666666667,66.67,4
2024-08-23,7,2,115,5,72.6666666666666667,72.67,4
2024-08-23,7,3,33,3,41.6666666666666667,41.67,3
2024-08-23,7,4,58,3,58.3333333333333333,58.33,3
2024-08-23,8,1,75,3,73.3333333333333333,73.33,4
2024-08-23,8,2,86,4,70.0000000000000000,70.00,4
2024-08-23,8,3,57,3,69.3333333333333333,69.33,4
2024-08-23,8,4,24,3,53.6666666666666667,53.67,3
2024-08-23,9,1,107,5,101.3333333333333333,101.33,6
2024-08-23,9,2,53,3,33.6666666666666667,33.67,2
2024-08-23,9,3,26,3,65.6666666666666667,65.67,4
2024-08-23,9,4,111,5,72.0000000000000000,72.00,4
2024-08-23,10,1,70,3,76.3333333333333333,76.33,4
2024-08-23,10,2,33,3,70.6666666666666667,70.67,4
2024-08-23,10,3,27,3,71.3333333333333333,71.33,4
2024-08-23,10,4,78,3,68.3333333333333333,68.33,4
2024-08-23,11,1,74,3,72.0000000000000000,72.00,4
2024-08-23,11,2,33,3,35.3333333333333333,35.33,2
2024-08-23,11,3,99,4,93.3333333333333333,93.33,5
2024-08-23,11,4,84,4,91.3333333333333333,91.33,5
2024-08-23,12,1,104,5,102.6666666666666667,102.67,6
2024-08-23,12,2,31,3,80.3333333333333333,80.33,5
2024-08-23,12,3,91,4,78.0000000000000000,78.00,4
2024-08-23,12,4,61,3,63.3333333333333333,63.33,4
2024-08-23,13,1,76,3,68.0000000000000000,68.00,4
2024-08-23,13,2,117,5,111.6666666666666667,111.67,6
2024-08-23,13,3,95,4,72.6666666666666667,72.67,4
2024-08-23,13,4,95,4,72.0000000000000000,72.00,4
2024-08-23,14,1,30,3,58.0000000000000000,58.00,3
2024-08-23,14,2,78,3,66.3333333333333333,66.33,4
2024-08-23,14,3,40,3,57.6666666666666667,57.67,3
2024-08-23,14,4,28,3,65.0000000000000000,65.00,4
2024-08-23,15,1,78,3,76.3333333333333333,76.33,4
2024-08-23,15,2,52,3,76.3333333333333333,76.33,4
2024-08-23,15,3,48,3,55.0000000000000000,55.00,3
2024-08-23,15,4,72,3,85.0000000000000000,85.00,5
2024-08-23,16,1,66,3,40.3333333333333333,40.33,3
2024-08-23,16,2,111,5,81.0000000000000000,81.00,5
2024-08-23,16,3,46,3,35.6666666666666667,35.67,2
2024-08-23,16,4,35,3,51.0000000000000000,51.00,3
2024-08-23,17,1,84,4,80.6666666666666667,80.67,5
2024-08-23,17,2,110,5,66.3333333333333333,66.33,4
2024-08-23,17,3,70,3,78.6666666666666667,78.67,4
2024-08-23,17,4,74,3,56.0000000000000000,56.00,3
2024-08-23,18,1,75,3,61.0000000000000000,61.00,4
2024-08-23,18,2,103,5,80.3333333333333333,80.33,5
2024-08-23,18,3,100,5,95.6666666666666667,95.67,5
2024-08-23,18,4,114,5,97.0000000000000000,97.00,5
2024-08-23,19,1,71,3,76.0000000000000000,76.00,4
2024-08-23,19,2,39,3,39.3333333333333333,39.33,2
2024-08-23,19,3,20,3,58.6666666666666667,58.67,3
2024-08-23,19,4,117,5,95.3333333333333333,95.33,5
2024-08-23,20,1,70,3,83.6666666666666667,83.67,5
2024-08-23,20,2,32,3,63.0000000000000000,63.00,4
2024-08-23,20,3,50,3,80.3333333333333333,80.33,5
2024-08-23,20,4,107,5,82.0000000000000000,82.00,5
2024-08-23,21,1,53,3,48.3333333333333333,48.33,3
2024-08-23,21,2,115,5,86.3333333333333333,86.33,5
2024-08-23,21,3,98,4,66.0000000000000000,66.00,4
2024-08-23,21,4,45,3,74.6666666666666667,74.67,4
2024-08-23,22,1,51,3,62.0000000000000000,62.00,4
2024-08-23,22,2,53,3,62.6666666666666667,62.67,4
2024-08-23,22,3,38,3,55.6666666666666667,55.67,3
2024-08-23,22,4,101,5,57.6666666666666667,57.67,3
2024-08-23,23,1,62,3,68.6666666666666667,68.67,4
2024-08-23,23,2,25,3,37.3333333333333333,37.33,2
2024-08-23,23,3,75,3,79.6666666666666667,79.67,4
2024-08-23,23,4,115,5,73.3333333333333333,73.33,4
2024-08-24,0,1,61,3,42.6666666666666667,42.67,3
2024-08-24,0,2,30,3,75.3333333333333333,75.33,4
2024-08-24,0,3,77,3,53.6666666666666667,53.67,3
2024-08-24,0,4,40,3,30.6666666666666667,30.67,2
2024-08-24,1,1,77,3,54.0000000000000000,54.00,3
2024-08-24,1,2,111,5,103.3333333333333333,103.33,6
2024-08-24,1,3,119,5,74.6666666666666667,74.67,4
2024-08-24,1,4,31,3,33.6666666666666667,33.67,2
2024-08-24,2,1,95,4,79.6666666666666667,79.67,4
2024-08-24,2,2,71,3,65.3333333333333333,65.33,4
2024-08-24,2,3,22,3,57.0000000000000000,57.00,3
2024-08-24,2,4,29,3,73.6666666666666667,73.67,4
2024-08-24,3,1,83,4,90.0000000000000000,90.00,5
2024-08-24,3,2,33,3,39.3333333333333333,39.33,2
2024-08-24,3,3,115,5,84.6666666666666667,84.67,5
2024-08-24,3,4,116,5,66.3333333333333333,66.33,4
2024-08-24,4,1,65,3,71.3333333333333333,71.33,4
2024-08-24,4,2,85,4,81.3333333333333333,81.33,5
2024-08-24,4,3,66,3,64.6666666666666667,64.67,4
2024-08-24,4,4,70,3,91.0000000000000000,91.00,5
2024-08-24,5,1,60,3,56.3333333333333333,56.33,3
2024-08-24,5,2,115,5,71.6666666666666667,71.67,4
2024-08-24,5,3,82,4,65.0000000000000000,65.00,4
2024-08-24,5,4,57,3,60.0000000000000000,60.00,3
2024-08-24,6,1,24,3,73.0000000000000000,73.00,4
2024-08-24,6,2,100,5,78.0000000000000000,78.00,4
2024-08-24,6,3,97,4,76.6666666666666667,76.67,4
2024-08-24,6,4,102,5,62.0000000000000000,62.00,4
2024-08-24,7,1,111,5,106.3333333333333333,106.33,6
2024-08-24,7,2,90,4,88.3333333333333333,88.33,5
2024-08-24,7,3,57,3,69.3333333333333333,69.33,4
2024-08-24,7,4,89,4,97.3333333333333333,97.33,5
2024-08-24,8,1,50,3,51.6666666666666667,51.67,3
2024-08-24,8,2,47,3,47.3333333333333333,47.33,3
2024-08-24,8,3,93,4,91.3333333333333333,91.33,5
2024-08-24,8,4,116,5,75.3333333333333333,75.33,4
2024-08-24,9,1,105,5,83.0000000000000000,83.00,5
2024-08-24,9,2,70,3,53.6666666666666667,53.67,3
2024-08-24,9,3,47,3,56.3333333333333333,56.33,3
2024-08-24,9,4,88,4,82.6666666666666667,82.67,5
2024-08-24,10,1,87,4,83.6666666666666667,83.67,5
2024-08-24,10,2,59,3,86.3333333333333333,86.33,5
2024-08-24,10,3,102,5,78.3333333333333333,78.33,4
2024-08-24,10,4,42,3,78.3333333333333333,78.33,4
2024-08-24,11,1,77,3,77.3333333333333333,77.33,4
2024-08-24,11,2,70,3,73.0000000000000000,73.00,4
2024-08-24,11,3,109,5,54.0000000000000000,54.00,3
2024-08-24,11,4,75,3,51.3333333333333333,51.33,3
2024-08-24,12,1,85,4,75.0000000000000000,75.00,4
2024-08-24,12,2,97,4,106.3333333333333333,106.33,6
2024-08-24,12,3,63,3,64.0000000000000000,64.00,4
2024-08-24,12,4,88,4,64.0000000000000000,64.00,4
2024-08-24,13,1,59,3,68.6666666666666667,68.67,4
2024-08-24,13,2,68,3,64.6666666666666667,64.67,4
2024-08-24,13,3,94,4,71.6666666666666667,71.67,4
2024-08-24,13,4,53,3,53.3333333333333333,53.33,3
2024-08-24,14,1,115,5,70.3333333333333333,70.33,4
2024-08-24,14,2,23,3,68.0000000000000000,68.00,4
2024-08-24,14,3,62,3,60.0000000000000000,60.00,3
2024-08-24,14,4,117,5,84.0000000000000000,84.00,5
2024-08-24,15,1,113,5,84.3333333333333333,84.33,5
2024-08-24,15,2,58,3,63.3333333333333333,63.33,4
2024-08-24,15,3,42,3,65.0000000000000000,65.00,4
2024-08-24,15,4,106,5,74.6666666666666667,74.67,4
2024-08-24,16,1,106,5,52.6666666666666667,52.67,3
2024-08-24,16,2,81,4,78.0000000000000000,78.00,4
2024-08-24,16,3,69,3,75.3333333333333333,75.33,4
2024-08-24,16,4,45,3,50.6666666666666667,50.67,3
2024-08-24,17,1,87,4,85.3333333333333333,85.33,5
2024-08-24,17,2,85,4,75.6666666666666667,75.67,4
2024-08-24,17,3,62,3,84.6666666666666667,84.67,5
2024-08-24,17,4,41,3,88.0000000000000000,88.00,5
2024-08-24,18,1,78,3,91.6666666666666667,91.67,5
2024-08-24,18,2,24,3,37.3333333333333333,37.33,2
2024-08-24,18,3,87,4,96.3333333333333333,96.33,5
2024-08-24,18,4,35,3,38.6666666666666667,38.67,2
2024-08-24,19,1,105,5,87.3333333333333333,87.33,5
2024-08-24,19,2,98,4,85.3333333333333333,85.33,5
